"","ID","date","url","title","source","duplicate","body"
"292","935937983","2018-08-31","http://www.newindianexpress.com/states/telangana/2018/aug/31/government-schools-give-private-peers-a-run-for-money-in-telangana-1865342.html","Government schools give private peers a run for money in Telangana","The New Indian Express",FALSE,"Fun designs, quality teachers, high standards: Telangana seems to have given a twist to its approach to education

Nalgonda

High demand for admissions

Despite there being 35 private schools in the district, parents seem to prefer the Zilla Parishad High School in Bakhalwada colony. Unable to handle the number of applications for admission, this school has put up a ""no admissions"" board at the entrance. In the last few years, admissions get filled within the first week of June in this school. The High School has 796 students studying between classes 6 and 10 who are accommodated in 35 classrooms. There are two sections for Telugu students and three for English in each class. The school has 46 teaching staff, 3 non-teaching staff, a library, science lab and playground apart from other facilities. ""Last three years, we secured 100 per cent pass in Class-X examinations,"" says the school headmaster Banda Venkat Reddy. While the school is 'almost perfect' the headmaster has urged the government to construct a kitchen where midday meals can be cooked.

Rajanna-Sircilla

'Train' them for future!

Going to school is exciting for children enrolled in Mandal Parishad Primary School. For, classrooms of this school in the remote area of Veernapalli look like train compartments. As many of the children studying here have not travelled in train, this gives them a good reason to attend classes. The makeover has worked wonders! Every since the boring school became a 'train school' dropout rates have frozen, say authorities. Also, they are seeing a sudden jump in attendance rate. Children are often seen standing at the classroom entrances, pretending to be boarding or alighting the train. ""At present, we have 270 students coming from Kancherla, Maddimall and Veernapalli villages. Since the makeover, donations have increased and we used this amount to hire two additional teachers,"" says the school headmaster Bukya Gajan. It's not just students, the school has also become a local tourist attraction with people visiting the spot to take selfies.

Nizamabad

How the 'best teacher' turned around a school

The Zilla Parishad High School at Borgaon (P) Village is also giving private schools a run for their money. Over the last four years, there has been a steady flow of students from private schools to this government institution. It is not without a reason, as six students who studied in this school have made it to different IIITs. This sudden prosperity was ushered in around 2014, when the current headmaster N Ram Rao took charge. His funda was to focus on quality improvement. This, he believed, would help increase enrolment. And that formula has actually paid off. He was recently awarded the best teacher award by the Government of India. Like a magic, at least 70 students from different private schools have switched to this school after that. Rao attributes the success to teaching staff. ""The teachers are responsible for the change in perception about the school among the villagers,"" he says. Established in 1977, the school runs from a multi-storage building on 1.14 acre. It has 1,200 students studying in classes 6-10. The school's infrastructure is also robust. It has a digital education lab, playground and other facilities. Weekly sports and other extracurricular activities are conducted to ensure the holistic development of the students. The school also takes care of the health of the students and organises regular health camps with the help of medical and health department. The school now acts as a model example for government schools to learn and replicate.

Adilabad

Nizam-era Telugu medium school still going strong

The Government School Gazetted No 2 is giving tough competition to private schools, despite being a Telugu-medium one. It has classes 8-10 with two sections for each class. A total of 302 students study here. Interestingly, the school is situated in the heart of the town surrounded by English medium private schools. Still, it's witnessing steady growth in admissions over the years. This academic year, the school got 50 new admissions. This is primarily because the school is achieving good results. Established in 1935, it has also produced several luminaries. Apart from the robust infrastructure, the school also boasts of a Legal Literary Club for students to discuss various issues including harassment. Students from here have also participated in State level sports tournaments."
"293","935162016","2018-08-30","https://www.financialexpress.com/india-news/delhi-private-schools-not-to-celebrate-teachers-day-on-september-5-here-is-why/1297016/","Delhi private schools not to celebrate Teachers' Day on September 5; here is why","The Financial Express",FALSE,"The school authorities also alleged that they were treated in poor, unfair manner. An association of over 160 senior secondary private schools, The National Progressive Schools' Conference (NPSC), has reportedly issued an advisory to schools.

Several Private schools in Delhi have decided not to celebrate the Teachers' Day on September 5. A few of those are likely to observe a muted celebrations. The private schools have taken this decision citing ""spate of arrests"" of teachers and principals in the national capital. The school authorities also alleged that they were treated in poor, unfair manner. An association of over 160 senior secondary private schools, The National Progressive Schools' Conference (NPSC), has reportedly issued an advisory to schools.

The Affordable Private Schools' Association has also decided not to celebrate Teachers' Day on September 5. ""We, the educationist fraternity, have to restore the value in our society and respect of the teachers, so that we can bring trust in the system,"" it said in a statement. Earlier on August 21, the Springdales Education Society had sent a note stating it will not be hosting the Teachers' Day dinner this year.

The Springdales Education Society circular said this is ""owing to a series of disturbing events in schools, in and outside Delhi, where principals and teachers have been held accountable for situations that in many instances have not been the responsibility of schools and their management"". ""Teachers are being targeted on unproven allegations of a lack of safety of school children. The relationship between the school and parents, too, is merely transactional and not what we desire it to be or what it used to be,"" it said.

Two teachers and the principal of a school were arrested after a Class IX student allegedly committed suicide. Parents had accused teacher and the school of harassing the student.

Earlier in April, the National Coalition for School Education (NCSE) had demanded reforms in education, including amendment to the Right to Education Act. Speaking to reporters, NCSE chairman Kulbhushan Sharma said, ""While the state of education calls for urgent reform, the government seems to be working only for appeasement and quick fix."" ""Amendments needs to be made to RTE legislation for learning outcome-based school recognition system instead of mere infrastructure-based norms, which have led thousands of schools to close down,"" Sharma said."
"294","934346187","2018-08-29","https://timesofindia.indiatimes.com/home/education/news/90-students-in-urban-private-schools-cannot-read-english-survey/articleshow/65587370.cms","90% students in urban private schools cannot read English: Survey - Times of India","The Times of India",FALSE,"A survey reveals 9 out of 10 children in urban private schools cannot read in English correctlyA survey reveals 9 out of 10 children in urban private schools cannot read in English correctly

A survey that assessed students across 20 states revealed that 9 in 10 children in urban private schools cannot read in English.

The report, 'Where India reads 2017-18', covered 19,765 children of classes IV, V and VI in 106 private schools in cities, across 20 states, including Delhi, Karnataka, Maharashtra, West Bengal and Jammu and Kashmir among others.

The survey conducted by Stones2Milestones, an organisation that aims to address the reading and learning levels of school going students. This was reviewed by Australian Council of Educational Research (ACER).

The report suggests that problem lies within our households. ""English is a second or even third language, in several Indian households and children speak in their mother tongue which is either Hindi or a regional language. However, at school they are expected to learn a language which is foreign to them, in a formal setting.""

Nikhil Saraf, co-founder, Stones2Milestones, said, ""The test was conducted online to check comprehension, vocabulary and reading habits of students under their teachers' supervision. Some students answered a few test items in an unreasonably short time. Since it is unlikely for a small child to read and respond in snap of a finger, we did not count for scoring.""

""This also points to several behavioural peculiarities, which could include reading fatigue, non-seriousness and bad monitoring practices.""

The schools were provided with a list of suggestions and actions needed to improve reading levels based on the assessment report.

""The focus should be to make reading to the core as a learning focus rather than just restrict it to a namesake library period,"" said Kavish Gadia, co-founder and CEO, Stones2Milestones.

Christel R Devadaswon, head, Department of English, University of Delhi, said, ""A policy is required to improve the literacy rate and stakeholders should look at the perspective of children and their socioeconomic situations.""

Venita Kaul, ex-senior education specialist and chairperson of the Advisory Committee of Center for Early Childhood Education and Development (CECED), said, ""I hope this report will initiate a discussion on challenges many Indian children face due to multi-lingual environment at home. It will sensitise parents, teachers and other stakeholders regarding the need to revisit classroom pedagogy for teaching reading to children. This is an urgent need in primary schools since children learn best in ways more developmentally and contextually appropriate for them. Once that is done, future assessments of children's reading skills will undoubtedly present a more favourable picture of their reading levels."""
"295","933272396","2018-08-27","http://risingkashmir.com/news/strictly-adhere-to-traffic-guidelines-dsek-asks-private-schools-","Strictly adhere to traffic guidelines: DSEK asks private schools ","RisingKashmir",FALSE,"Strictly adhere to traffic guidelines: DSEK asks private schools

Director School Education Kashmir (DSEK), Dr. G.N. Itoo Monday asked the administrators of all the private schools to strictly adhere to the traffic guidelines and make sure the safety of the students.

DSEK stated this at a meeting held here today with the representatives of private schools.

Talking about the directions of the Supreme Court, DSEK told the representatives of the private schools to ensure that there is no overloading in school buses. In order to streamline the transport system in schools, he asked the representatives of private schools to submit their suggestions to the Department in this regard by 30th August 2018.

DSEK also highlighted the guidelines issued by the Divisional Administration regarding the issues pertaining to transport facilities for students in private schools and directed them to adhere to these guidelines and the directions from the Department in order to make sure the safe transport facility for the students."
"296","933266851","2018-08-27","https://kashmirobserver.net/2018/city-news/private-schools-asked-adhere-sc-guidelines-transport-facilities-35447","Private Schools Asked To Adhere SC Guidelines On Transport Facilities ","Kashmir Observer",FALSE,"SRINAGAR -- Director School Education Kashmir, Dr. G.N. Itoo on Monday asked the administrators of all the Private Schools to strictly adhere to the guidelines issued by the Supreme Court of India regarding the transport facilities and ensure the safety of the students and taking the parents into confidence.

Reviewing the tranSport facilities being provided to the students of Private Schools, the Director asked the administrators of all the Private Schools to strictly adhere to the guidelines issued by the top court in letter and spirit.

He passed the instructions after a meeting with the representatives of Private Schools in the Conference Hall of Directorate of School Education Kashmir.

Talking about the directions of the Supreme Court DSEK told the representatives of the Private Schools to keep a strict vigil on the overloaded school buses and direct those bus drivers to do away with that practice. In order to streamline the tranSport system in schools, DSEK asked the representatives of Private Schools to submit their suggestions to the Department in this regard by 30th August 2018.

The meeting was attended by the representatives of Private Schools and some senior officers of the Department.

DSEK also appraised the meeting about the guidelines issued by the Divisional Administration regarding the issues pertaining to tranSport facilities for students in private schools and directed them to adhere to these guidelines and the directions from the Department in order to make sure the safe tranSport facility for the students."
"297","932045194","2018-08-25","http://www.asianage.com/metros/delhi/260818/private-schools-to-boycott-teachers-day.html","Private schools to boycott Teachers' Day","The Asian Age",FALSE,"New Delhi: Many private schools in the city have decided to boycott Teachers' Day this year in protest against the arrest of a principal and two teachers over what they call ""false allegations"".

""It is highly unfortunate that our fellow principal and two teachers of a school in East Delhi were arrested by the police on the basis of false allegations. They spent 35 days in jail. The investigations have not found any evidence against the teachers as well as the principal. It is highly unfortunate that the principal and teachers have been arrested in this manner,"" said a statement by Affordable Private Schools' Association.

The police had arrested the principal and two teachers of a private school in Mayur Vihar in July, four months after a 15-year-old girl committed suicide alleging harassment. The girl -- a student of Class 9 -- committed suicide at her residence on March 20 in Noida sector 52.

The family members had alleged that she was under stress due to her poor performance in two subjects in the exams.

""There are so many cases and instances that the police have arrested teachers and principals in unproven allegations and false charges. It is a matter of shame for our society in which without knowing the facts and circumstances of the case, parents asked the immedi-ate arrest of the principal and teachers,"" the statement said.

""Therefore it has been decided by the members of the association that our fellow schools will not celebrate this Teachers day on 5th September, 2018 and we are ready to support any protest to uphold the respect, safety and security of our teachers,"" it added."
"298","931958855","2018-08-25","http://www.newindianexpress.com/nation/2018/aug/25/families-cut-food-entertainment-expenses-to-send-kids-to-private-schools-research-1862728.html","Families cut food, entertainment expenses to send kids to private schools: Research","The New Indian Express",FALSE,"NEW DELHI: Indian families which send all their children to private schools spend over 4 per cent of their total expenditure more on education than a similar household which sends all its children to public schools. This is a 60 per cent increase above the average education expenditure and is financed by a reduction of expenditure on food, institutional medical care, entertainment among others.

These are some of the facts that were presented by two development researchers in a presentation titled ""How do Households Finance Private School Education?"" in an international conference on public policy and management organised by IIM, Bengaluru in New Delhi recently.

""We set out to analyse the financing patterns of private education by families because it's a common experience that even urban poor and low-income families in rural areas now prefer private schools over government schools,"" said Nishant Chadha of India Development Foundation, a researcher.

""And the findings so far, I would say, have been startling as families cut their other expenses significantly to ensure things like tuition, uniforms and recurrent fee that private schooling demands.""

The researchers used data from 68th round of National Sample Survey Office for the analysis The motivation for the analysis came from a 2015 Assocham survey which had said that nearly one in ten respondents indicated that the cost associated with schooling has actually affected even their choice of school.

Over 70 per cent of parents spend 30-40 per cent of take-home pay on their children education, placing a significant burden on their family budget, the survey had also found. ""While the annual fees are on average Rs 65,000 to Rs. 1,25,000 on a single child for regular schools, even the preschools for those aged 3 to 5 cost, parents about Rs 35,000 to Rs 75,000 a term,"" Assocham survey had said.

Bharti Nandwani of Indira Gandhi Institute of Development Research, another researcher with the project said that it was important to probe ""at what cost families make a choice that is considerably costlier."" ""Private schooling entails higher out-of-pocket expense so we wanted to understand how families manage to do that and how it affects their other needs and choices,"" she said. Chadha, however added that the findings are preliminary and more analyses needs to be done to ""answer a lot of other questions."
"300","931348746","2018-08-24","https://indianexpress.com/article/cities/delhi/128-private-schools-in-delhi-roll-back-arbitrary-fee-hike-5323717/","128 private schools in Delhi roll back 'arbitrary' fee hike","The Indian Express",FALSE,"By: PTI | New Delhi | Published: August 24, 2018 10:24:19 pm Chief Minister Arvind Kejriwal had issued directions to the schools to roll back their ""arbitrary"" fee hike after receiving several complaints from parents.

Around 128 schools in the national capital have rolled back their ""arbitrary"" fee hikes following complaints from parents, a government official said.

Chief Minister Arvind Kejriwal had issued directions to the schools to roll back their ""arbitrary"" fee hike after receiving several complaints from parents.

The Directorate of Education (DoE) had in April sent notices to 195 private schools of the city and asked the school heads to roll back their fee hike.

Last month, Kejriwal had asked DoE to submit a compliance report on whether the private schools had rolled back their fee hike as ordered by the government.

""Out of 195 private schools, 128 have informed us that they are rolling back their hiked fees. Remaining 67 private schools will soon be served show-cause notices for not complying with the orders,"" a DoE official said.

Education Minister Manish Sisodia would be meeting the representatives of all the 128 schools who had complied with the government's directive.

Must Watch From The Archives: As we complete one year since SC's landmark verdict on privacy, a look at the dangers of mass surveillance Xiaomi's Pocophone launches Poco F1 in India: Here's a first look Rajkummar Rao and Shraddha Kapoor Reveal Eerie Experience on Stree Sets Kerala floods: A quick guide of DOs and DON'Ts for the people of Kerala after returning home Start your day the best way with the Express Morning Briefing"
"301","1029536109","2018-12-30","http://risingkashmir.com/news/amid-harsh-weather-private-schools-defy-govts-winter-vacation-order","Amid harsh weather, private schools defy Govt's winter vacation order","RisingKashmir",FALSE,": Defying the state government's winter vacation orders, scores of private schools are operating in the harsh weather conditions -- forcing students to attend early morning tutorials.

However, Department of Schools Education, Kashmir (DSEK) has given allowance to some private schools for only remedial classes that even on terms and conditions.

A number of parents said that there are several private schools that are giving winter tutorials to the students in the early morning.

Parents while questioning the government order regarding the winter vacations said, ""If the Directorate of School Education Kashmir (DSEK) has announced the winter vacation in all schools so that the students will evade the biting cold and when it is not being implemented on ground level then what is the fun of announcing such vacations.""

One of the parents wishing anonymity said that there are some private schools that function for winter schooling, where classes start from 10 Am upto 2 PM.

He said, ""This freezing winter has returned after many years and the students are being compelled to attend the winter schooling starting from 10 Am.""

He said that this seems to be a punishment to the students and nobody from the education department is showing any concern to overcome the issue.

Another parent while lamenting on the issue said that her ward felt ill twice due the cold and he is not able to go for winter schooling in the misty morning.

Director Education, Kashmir, Ghulam Nabi Itoo, said that the department had already issued the circular regarding the functioning of the winter schooling in the valley.

He said, ""We have only allowed private schools for only remedial classes and we have asked the concerned authorities to make proper arrangements of heating and seating available."" ""The scheduled timing for the approved private schools and the coaching centres is from 11 AM to 3 PM,"" he said."
"302","1027571301","2018-12-27","https://www.thehindu.com/news/cities/bangalore/private-schools-allege-delay-in-rte-reimbursements/article25842661.ece","Private schools allege delay in RTE reimbursements","The Hindu",FALSE,"Private school managements across the State have alleged a delay on the part of the Department of Public Instruction in releasing reimbursements for students admitted under the RTE quota.

D. Shashi Kumar, General Secretary of the Associated Managements of Primary and Secondary Schools in Karnataka, stated that schools had not even received the first instalment of the reimbursements that were due in September. It was difficult for private schools to pay salaries of their teaching and non-teaching staff, and meet the day-to-day expenditure. ""Some schools, in fact, had appealed to rectify the reimbursements of last year, which the department us yet to address,"" he said, adding that several low-cost budget schools are finding it difficult to sustain their operations.

He warned that many schools would refuse admissions for students admitted under the quota next year, as the delay in reimbursements is an annual problem.

Department officials acknowledged the delay, and stated that they are trying to simplify the process. They added that they would extend the date for filing for reimbursements by 10 days."
"303","1027316930","2018-12-27","https://www.hindustantimes.com/education/delhi-government-to-carry-forward-1-145-vacant-seats-reserved-for-differently-abled-in-private-schools/story-33lvmCsQxUQcFjedEmlXrO.html","Delhi government to carry forward 1,145 vacant seats reserved for differently abled in private schools","Hindustan Times",FALSE,"Officials in the DoE said that they are planning to organise awareness campaigns among parents to motivate them to apply. (HT File)

After four rounds of admissions, less than a quarter of the 1,400 reserved seats on offer in the city's private schools for differently abled students were filled this year. This has prompted the government to carry forward the vacant seats to the next academic year.

Hindustan Times had reported last week that the Delhi government's directorate of education (DoE) had invited fresh online applications for 1,268 entry-level reserved seats for a fourth round of admissions to the current academic year which has just three months left.

On Wednesday, the draw of lots were held for these seats but only 123 were filled. The DoE cited ""lack of applications"" for the large number of seats going vacant.

""Of the 125 applications we received during the fresh round of admission, 123 candidates were absorbed. The selected candidates have to approach the allotted school on or before December 31,"" DoE director Sanjay Goel said.

According to the Rights of Persons with Disabilities (PWD) Act, 2016, three per cent of the total number of seats meant for the economically weaker section and disadvantaged groups (EWS/DG) category are reserved for children with disabilities.

Goel said that the department will carry forward the remaining reserved seats to next academic session (2019-20). ""The seats will be counted in the category during next year's admission,"" he said. The notification of admission in the entry level classes under the 25% reserved seats for the EWS/DG category is likely to be announced in the first week of January, next year.

Officials in the DoE said that they are planning to organise awareness campaigns among parents to motivate them to apply.

""There is lack of awareness among parents about the reserved seats because this was the first time the quota was introduced within the 25% EWS/DG seats. We are planning to organise campaigns to aware parents from the coming admission session,"" an official said.

Experts, however, said that the ""lack of inclusiveness"" in schools make parents reluctant from applying. ""Though the situation in private schools is better than the government schools, parents of children with disabilities are still reluctant from applying there. They think their kids will only be able to adjust in special schools. More efforts need to be put in to make campuses more inclusive by appointing trained special educators and providing better infrastructure facilities,"" said Dr Satender Singh, disability rights activist."
"304","1027314916","2018-12-27","https://www.hindustantimes.com/education/in-a-first-2-private-schools-of-noida-to-return-hiked-fees/story-NKzCtqeDbTH4PFWCBok5qO.html","In a first, 2 private schools of Noida to return hiked fees","Hindustan Times",FALSE,"In a first, two private schools in Noida have agreed to roll back hiked fees and return the excess to the parents, the district education department informed, after continued agitation by the parents' body against ""arbitrary fee hike"" by schools which was not in accordance with the UP school fee regulatory act.

The district inspector of school (DIOS) PK Upadhyay said two schools, Cambridge School in Sector 27 and Bal Bharti School in Sector 21, have agreed to return hiked fees. While Cambridge School management agreed to return hiked amount per semester (₹17,000), Bal Bharti School has decided to return ₹7,000 as hiked amount in one semester.

""We had served notices to the two schools regarding hiked fees in the past and they have now agreed to roll it back. Till now, we have got confirmation from two schools only. We are probing other schools which have also hiked fees,"" Upadhyay said.

The move comes after continued agitation by the All Noida Schools' Parents' Association (ANSPA) against ""arbitrary fee hike"" which is not in accordance with the Uttar Pradesh Self Finance Independent Schools (Regulation of Fees) Act. The ordinance was first brought into motion on April 9, 2018 and the Act was enforced in August this year.

According to K Arunachalam, general secretary of the ANSPA, they had sent a complaint to the DIOS regarding six private schools, namely Apeejay School, Somervillle School, Amity International School, Delhi Public School, Noida, Cambridge School and Bal Bharti School, for increasing fees in an alleged arbitrary manner.

""Although we have received information regarding two schools agreeing to roll back hiked fees, they have not done it yet. If schools really intend to adjust the hiked amount with the future fees, they have to do it in the next quarter. It has been four months since the Act has been enforced, however, no private school has followed it yet,"" Arunachalam said.

On November 3, the district magistrate of Gautam Budh Nagar had held a meet with principals of all private schools in the district and asked them to decided their fee structure as per the newly regulated Act and upload it on their school's website within a week's time.

Reacting to allegations of inaction by the district fee regulatory committee, Upadhyay said, ""We will decide in the next committee meeting on schools which do not follow the fees Act.""

However, Asha Prabhakar, principal of Bal Bharti School, denied claims made by the DIOS.

""We had already returned the hiked fees to parents in July this year. The ordinance came in April and we were told to roll back hiked fees. There was a rise of ₹7,000 in the first quarter and we returned the amount in the second quarter fees. The claims of DIOS that Bal Bharti School has agreed to roll back fees now only is untrue,"" Prabhakar said.

The management of the Cambridge School could not be contacted at the time of this report going to publication."
"305","1026578144","2018-12-26","https://timesofindia.indiatimes.com/city/delhi/fat-is-in-the-fire-private-schools-found-wanting-on-food-safety/articleshow/67248795.cms","Fat is in the fire: Delhi private schools found wanting on food safety - Times of India","The Times of India",FALSE,"NEW DELHI: The kids aren't eating healthy: an inspection of at least 10 private schools in Delhi has revealed that these institutions don't have a canteen policy in place and, in most cases, the students are ""being given to eat what they ask for"". The Delhi Commission for Protection of Child Rights, which has been making rounds of canteens in private schools to check if they are providing nutritious food, found that in all the 10 cases so far, students are being given food high in fat, salt and sugar content, something that is strictly prohibited.

DCPCR has been inspecting the schools to ensure effective implementation of Food Safety and Standard Authority of India guidelines, which are prepared by the central advisory committee of the body as advised by the Delhi high court in 2015. Recently, the National Commission for Protection of Child Rights had asked states to ensure an effective implementation of the norms.

Ranjana Prasad, member DCPCR, said: ""NCPCR had decided to check if these guidelines were being followed and we are doing that in Delhi. We have so far covered 10 private schools in south Delhi. In most schools we saw that the canteens were selling HFSS food and gave whatever the students asked for. The children do not know what is good for them and what they should eat."" The canteens were serving burgers, chowmein and beverages -- all strictly prohibited in the guidelines.

A research recently published in the Asia Pacific Journal of Clinical Nutrition showed that there is a link between consumption of HFSS food and obesity. Numerous studies done among schoolchildren of Delhi, Amritsar and southern India show that the prevalence of overweight/obesity is high and on the rise. In urban post-pubertal children of Delhi, it increased from 16% in 2002 to about 24% in 2006. It is high among the affluent class and children of private schools compared to low and middle-income groups.

Apart from selling food that's high in sugar and fat content, none of these schools had a canteen policy in place.

""It is most surprising that none of the schools knew about the canteen policy. As per guidelines, the canteens are required to provide different kinds of food. They are supposed to have 80% of the menu as green food, which includes vegetables, fruits and others. It is important to raise awareness about it among schools, children and parents so that the children grow up healthy,"" said Prasad.

The inspection will be carried out in all the schools of the city and the Directorate of Education has recommended that the guidelines are strictly implemented."
"306","1026568185","2018-12-26","https://www.hindustantimes.com/education/private-schools-to-join-maharashtra-international-board/story-oWkvdFdwstriNQJrTCgFoL.html","Private schools to join Maharashtra international board ","Hindustan Times",FALSE,"Private schools will be part of the state's international school board, which is set to be operational from the next academic year, state education minister Vinod Tawde said at the launch of the board on Tuesday.

According to the earlier norms, only government schools were allowed to become part of the board. Through the Maharashtra International Education Board (MIEB), the state education department aims to bring in a curriculum similar to that of international schools in state-run institutions. A total of 455 schools, including government, aided and self-financed schools from across the state, have applied to become a part of the board. In the first phase, the schools will follow the curriculum of the new board from pre-primary to Class 3, with Marathi as the medium of instruction for the first year. Currently, the governing body of the board is in the process of scanning the applications from schools to select the final 100.

Tawde said the government would pick 25 private schools and 25 aided schools, along with 50 government schools, as the first 100 schools under the board. ""We have got around 40-45 applications from private schools this year, so we decided to allow a few good private schools to join,"" he said.

Heramb Kulkarni, an educationist from the state, said the government needs to be careful before allowing private schools to become a part of the initiative. ""While some private schools are doing good work, they need to set criteria for selection. The move should not benefit schools run by politicians and big corporates,"" he said.

Government schools that would become a part of the selected 100 will be named 'Bharat Ratna Atal Bihari International School' in the memory of the late former Prime Minister Atal Bihari Vajpayee. Currently, 13 schools in the state are being run as per the MIEB curriculum on a pilot basis. ""We want to ensure people pick state's international schools over international boards. Experts who are a part of the initiative have come up with a great curriculum,"" said Tawde."
"307","1026399968","2018-12-25","https://www.abplive.in/india-news/uidai-cautions-private-schools-on-making-aadhaar-mandatory-for-admission-884033","UIDAI cautions private schools on making Aadhaar mandatory for admission","ABP Live",FALSE,"New Delhi: The Unique Identification Authority of India (UIDAI), the Aadhaar issuing body, has recently informed the school administrations that they cannot make the 12-digital Aadhaar number mandatory for admission of students and warned that doing so will be against the recent directive of the Supreme Court of India. The announcement from the Aadhaar issuing body came in the backdrop of the start of admission process in Nursery and entry-level classes in over 1,500 private schools in the national capital. As per media reports, several schools are insisting parents to submit their Aadhaar as one of the documents required for admissions.

Speaking about the same with news agency PTI, UIDAI chief Ajay Bhushan Pandey has said that the department is aware about the fact that some private schools are demanding Aadhaar cards for admission of students. ""This is not right. This is not as per the provisions of law...school admission and other facility to children cannot be made conditional to production of Aadhaar,"" Pandey told the news agency.

The UIDAI has also warned the school administration to make sure that none of the students are denied admission for not providing Aadhaar as admission document. ""In fact, schools should admit children without Aadhaar and ensure that children are given Aadhaar once they are in schools by arranging special camps for them,"" Pandey said.

The Supreme Court, in September this year, upheld the constitutional validity of Aadhaar and stated that it would remain mandatory for filing income tax returns and allotment of Permanent Account Number (PAN). However, the top court also mentioned that the 12-digital unique identification number will not be mandatory for opening bank accounts, mobile connections and school admissions.

The apex court's directive also stated that Aadhaar would not be mandatory for school admissions, as also for the examinations conducted by the Central Board of Secondary Examination (CBSE), National Eligibility cum Entrance Test (NEET) for medical entrance and the University Grants Commission (UGC).

(With agency inputs) Tags: aadhaar school admissions uidai"
"308","1025427162","2018-12-24","https://timesofindia.indiatimes.com/city/noida/noida-seeks-private-help-for-boards-benches-in-schools/articleshow/67222199.cms","Noida seeks private help for boards and benches in schools - Times of India","The Times of India",FALSE,"NOIDA: The district administration of Gautam Budh Nagar has issued an expression of interest to sign MoUs with private companies to improve the quality of education and infrastructure in government primary schools through CSR initiatives.

District magistrate BN Singh said the administration started signing such pacts last year and roped in some private players. The district currently has 685 government primary and upper primary schools.

""The administration is signing MoUs with private companies to uplift the infrastructure and quality of education in these schools. In the past one year, DLF, HCL, Paytm, etc have signed MoU through their CSR initiative. These companies have adopted some schools and fixed blackboards, benches, tables, toilets, etc. They have also developed smart classes and digital blackboards for interactive teaching,"" said Singh. He added that there are some other government schools which need renovation. The administration aims to strengthen education in all the government schools and plan to rope in some more private players.

Singh said there is perceptible gap in the quality of established private schools as compared with that of government schools. ""This gap needs to be bridged. We have issued a list of 580 schools which need to be adopted,"" he said."
"309","1025378315","2018-12-23","https://indianexpress.com/article/cities/mumbai/bmc-says-no-to-renting-out-shut-civic-school-premises-to-private-aided-schools-5506634/","Mumbai: BMC says no to renting out shut civic school premises to private aided schools","The Indian Express",FALSE,"About 14 private-aided Marathi language schools had requested the municipal corporation to give the premises on rent, as their own buildings were in a dilapidated state.

Citing a Bombay High Court order, Brihanmumbai Municipal Corporation (BMC) refused to provide buildings of shutdown municipal schools to private-aided schools for holding classes.

About 14 private-aided Marathi language schools had requested the municipal corporation to give the premises on rent, as their own buildings were in a dilapidated state.

In the last five years, more than 100 BMC schools have been shut down owing to dwindling student numbers.

""We got applications from 14 such aided schools, seeking municipal schools' premises on rent. Their own buildings are in ruins. However, there is a Bombay High Court order barring to rent out any municipal school building. Hence, we have refused their plea,"" said a senior official in the Education Department.

Advertising

He added, ""Earlier, BMC had given some of the schools' rooms to non-government organisations and political organisations for educational purposes. But they started using them as offices and for non- educational activities. Due to these irregularities, somebody filed a petition in court. The court ordered the civic body to remove all such offices and keep the schools only for educational purposes.""

""The request from aided schools is genuine. Students in these schools are risking their lives. I will bring this proposal in group leaders meeting and come up with a solution,"" said Education Committee Chairman Mangesh Satamkar.

The civic body data showed that there are over 1,300 BMC schools across the city."
"310","1025278677","2018-12-23","http://risingkashmir.com/news/will-take-action-against-private-schools-flouting-norms-dsek","Will take action against private schools flouting norms: DSEK","RisingKashmir",FALSE,"Directorate of School Education Kashmir (DSEK) Sunday said that the department is going to take strict action against schools flouting norms by collecting the tuition fee of vacation months in one go.

DSEK in a circular issued said, ""It has been brought into the notice of DSEK that some private schools press the parents to pay the tuition fee of vacation months in one go.""

DSEK director, Ghulam Nabi Itoo said, ""In some cases, transport charges are being collected by several private schools for vacation period also, even there are instances where it has been alleged that heating charges are being collected from students without such service being used.""

The department said that there is no rule or norm where a private school will force or pressurise the parents to pay a fee in one go.

The orders of DSEK read, ""No (Private) school can force the parents to pay a fee in one go. The school fee, as per norms, is to be paid only in monthly instalments including for vacation period.""

""During the vacation period, the fee is to be charged only for the services which are being utilised by the students and no other fee can be charged,"" DSEK said.

DSEK also clarified that no heating charges can be recovered from students when these services are not being used by students during the vacation period.

Pertinently, Rising Kashmir received a number of calls from the parents of the wards studying in various leading private schools of Srinagar who complained of issues like increase in tuition fee, charging of bus fare for vacation months, extra charges and the onetime tuition fee of winter months.

One of the parents said, there are many private schools in Srinagar who keep the students result withheld till the parent pay tuition fee and transportation in one go for the vacation months."
